data,estudio,email,thread_id,message_id_followup,status
2026-09-02,Digic Pictures,contact@digicpictures.com,1a03c39db1a7c438,1a062964ae2c4425,enviado na thread
2026-09-02,Airship Interactive,talent@airshipinteractive.com,1a03c39f8fad95f3,1a0629659478357e,enviado na thread
2026-09-02,Puppetworks,info@puppetworks.eu,1a03c3a15eb14d12,1a062966a504dc13,enviado na thread
2026-09-02,Ember Lab,contact@emberlab.com,1a03c3a4c1e7a0b0,1a062967a756a4c3,enviado na thread
2026-09-02,The Sequence Group,jobs@thesequencegroup.com,1a03c3a76c816b97,1a062968bc26e363,enviado na thread
2026-09-02,Steamroller Studios,contact@steamrollerstudios.com,1a03c3a935da023f,1a062969b574bf80,enviado na thread
2026-09-02,Woodblock,work@woodblock.tv,1a03c3ab231bd08b,1a06296aa7a3d0e3,enviado na thread
2026-09-02,Kevuru Games,career@kevurugames.com,1a03c3acd19fc40a,1a06296bbc5c0b58,enviado na thread
2026-09-02,RetroStyle Games,job@retrostylegames.com,1a03c3b15573dca6,1a06296ca25a10cf,enviado na thread
2026-09-02,RocketBrush Studio,hr@rocketbrush.com,1a03c3b2fe1d0aa1,1a06296dd2c66cac,enviado na thread
2026-09-02,Art Bully Productions,contact@artbullyproductions.com,1a03c3b6a7388a8d,1a06296edb70794b,enviado na thread
2026-09-02,10th Ave Productions,talent@10ave.com,1a03c5379ad4e3a1,1a06296fa45982ac,enviado na thread
2026-09-02,Digital Dimension,info@digitaldimension.com,1a03c539ac910e40,1a0629971921a88e,enviado na thread
2026-09-02,Blue Spirit,contact.france@spirit-prod.com,1a03c53e138e9065,1a062998177867ac,enviado na thread
2026-09-02,Able & Baker,contact@ableandbakerstudios.com,1a03c5427478d845,1a06299918c8cd7f,enviado na thread
2026-09-02,Cyborn,jobs@cyborn.be,1a03c54af38791e7,1a06299a3e91f2e4,enviado na thread
2026-09-02,A. Film Production,info@afilm.dk,1a03c5516d498bde,1a06299b0e6de4e4,enviado na thread
2026-09-02,Rainbow CGI,info@rbw-cgi.it,1a03c54f632fe714,1a06299c2a025824,enviado na thread
2026-09-02,Amber,recruitment_ro@amberstudio.com,1a03c61bc1c3c645,1a06299d57e70d77,enviado na thread
2026-09-02,Copernicus Studios,info@copernicus.ca,1a03c626c6c984e9,1a06299e3cef43e1,enviado na thread
2026-09-02,Elliott Animation,info@elliottanimation.com,1a03c62b23f76091,1a06299f587bb47f,enviado na thread
2026-09-02,Flight School Studio,info@flightschoolstudio.com,1a03c62d41969acd,1a0629a08a8c7b03,enviado na thread
2026-09-02,Flipbook Studio,jobs@flipbookstudio.co.uk,1a03c62fae21dcd5,1a0629a1579d86a6,enviado na thread
2026-09-02,Blow Studio,jobs@blowstudio.es,1a03c622612fd3d4,1a0629a24319b859,enviado na thread
2026-09-02,Game-Ace,contact@game-ace.com,1a03c631fab94706,1a0629a453fb1cef,enviado na thread
2026-09-02,GO-N Productions,contact@go-n.fr,1a03c63404b3bfcc,1a0629a5022e852a,enviado na thread
2026-09-02,Goodbye Kansas Studios,hello@goodbyekansas.com,1a03c63646ef3e7c,1a0629a62ed13d68,enviado na thread
2026-09-02,Hampa Studio,admin@hampastudio.com,1a03c63871780f9f,1a0629a7261c8d68,enviado na thread
2026-09-02,Kavaleer Productions,jobs@kavaleer.com,1a03c63a8142972c,1a0629a830de81ec,enviado na thread
2026-09-02,Moonmana,careers@moonmana.com,1a03c63eeb127cca,1a0629a95c89ba18,enviado na thread
2026-09-02,Piranha Bar,info@piranhabar.ie,1a03c643231cab68,1a0629aa203dcc26,enviado na thread
2026-09-02,Studio AKA,hello@studioaka.co.uk,1a03c649dac20187,1a0629ab3378ac6c,enviado na thread
2026-09-02,Sun Creature,contact@suncreature.com,1a03c64bed561d6b,-,nao enviado (2a via enviada hoje)
2026-09-02,TrailerFarm,info@thetrailerfarm.com,1a03c64e1944f860,1a0629ac52b8ede4,enviado na thread
2026-09-02,Unit Image,contact@unit-image.fr,1a03c6504f41c1dd,1a0629ad3ced97c6,enviado na thread
2026-09-02,Waterproof Studios,info@waterproofstudios.com,1a03c652b5b96b1e,-,nao enviado (2a via enviada hoje)
2026-09-02,Mathematic,contact@mathematicfilm.com,1a03c654da74cbc9,1a0629ae599da7f2,enviado na thread
2026-09-02,iLogos Game Studios,bizdev@ilogos.biz,1a03c656e9c1fe89,1a0629af3ed6176f,enviado na thread
2026-09-02,Mighty Animation,info@mightyanimation.com,1a03e8c3f10be61c,1a0629b119f185ef,enviado na thread
2026-09-02,The Line,entertainment@thelinestudio.com,1a03e8c6307f82a8,1a0629b2044627a0,enviado na thread
